LP	source	translation	reference	HUMAN_score	sentBLEU
fi-en	Seppo Sirkka oli ainoana suomalaiskuvaajana vuoden 1982 turnauksessa Argentiinassa, jossa legendaarinen Reino Kosonen oli Suomen kakkosvalmentajana ja nykyinen pelaaja-agentti Jouni Parkkali yleispelaajana.	Seppo Sirkka was the only Finnish photographer at the 1982 championship in Argentina, where the legendary Mr Kosonen was Finland 's second coach and current player agent Jouni Parkkali as a global player.	Seppo Sirkka was the only Finnish photographer in the 1982 tournament in Argentina, where the legendary Reino Kosonen was Finland’s secondary coach, and Jouni Parkkali, who nowadays is an agent for players, was an opposite hitter.	0.28039322796961	0.318032
fi-en	Kaikista kodin tiloista on myös oltava esteetön poistumisreitti.	All home facilities must also be accessible at the exit route.	Also, there must be an unobstructed exit route from all rooms of the house.	0.493277601502148	0.109042
fi-en	Myös Intian on sanottu olevan kiinnostunut puolustusyhteistyösopimuksesta Japanin kanssa.	India is also said to be interested in puolustusyhteistyösopimus with Japan.	India is also reportedly hoping for a deal on defence collaboration between the two nations.	-1.12131412278143	0.147375
fi-en	Kun Ailinn Solomons oli taas yksin, hän katsoi jalkojaan.	When Ailinn Solomons was alone again, he felt at his feet.	Alone again, Ailinn Solomons looked at her feet.	-0.496386787551119	0.178275
fi-en	Koko alkuvuoden eli tammi-heinäkuun aikana tavaratalojen ja hypermarkettien liikevaihto on supistunut yli kaksi prosenttia.	During the whole at the beginning of the year, i.e. in January - July of the turnover of the supermarkets and hypermarketti has shrunk by more than 2%.	During the first part of the year, i.e. January through July, the turnover of the department stores and hypermarkets has diminished over two percent.	0.484919068174974	0.232999
fi-en	Uusi museo ja kuvataide ovat vetäneet ennätysmäisiä yleisöjä tänä kesänä Mänttään.	The new museum and image have been withdrawn by the public this summer.	The new museum and visual arts have attracted a record audience to Mänttä this summer.	-0.988987998034699	0.271067
fi-en	Pääministeri Thomas Thabane pakeni maasta sanoen, että armeija oli piirittänyt hänen virallisen asuntonsa ja vallannut hallituksen rakennuksia pääkaupungissa Maserussa.	Prime Minister Thomas Thabane fled the country, saying that the army was besieged by his official apartment and seized government buildings in the capital Maserussa.	Prime Minister Thomas Thabane fled the country, saying the country's military had surrounded his official home and seized government buildings in the capital of Maseru.	0.332535528134307	0.55564
fi-en	Skotlannin itsenäistymisestä järjestetään kansanäänestys 18. syyskuuta.	A referendum on independence for Scotland, 18. September.	There will be a referendum on Scottish independence on September 18th.	0.656179332639473	0.155871
fi-en	Hakkeri vuoti Jennifer Lawrencen alastonkuvia verkkoon	Jennifer Lawrence alastonkuvia hakkeri leaked online	Nude photos of Jennifer Lawrence leaked online by hacker	-0.80796309704415	0.22172
fi-en	Sama valtava, hyinen meri, joka aaltoili heitä vastaan.	The same huge, the frozen sea, which aaltoili against them.	The same vast and icy ocean crashed in on them both.	-0.462085944205039	0.150116
