-1.72661334626707	helen graf and heather xi solyariya in five years the outstanding defeats .	海伦·格拉芙和希瑟·斯坦宁在五年中未尝败绩。
-1.63781318601382	and chen yibing , who led china to the 2012 olympic group champion , was also the king .	而陈一冰则在率领中国拿到2012年奥运团体冠军的同时，也成为了吊环王。
-1.60192713963974	through the successful occupation of the president at new york , 3,000	戴图理凭借 Predilection 在纽马基特的成功取得职业3,000胜
-1.4829333207708701	as the of jin man , , the olympic games to the olympics , injury to him , the three - line attack , a great deal .	作为金满贯得主的纳达尔，对奥运会情有独钟，伤未痊愈的他，此次三线出击，斩获颇丰。
-1.4554492936678298	and we face women .	而我们则面向女性。
-1.45243953271063	after all the athletes stepping into a new field , whether it is ability or contacts , are a blank state .	毕竟运动员踏入一个新的领域，无论是能力还是人脉，均是一个空白状态。
-1.36973996646155	&quot; other internet users believe that the other internet users are actually identical , &quot; he said online .	一位推特用户最近开心地在网上宣称“其他网民也认为霍普·索罗和珍妮弗·卡彭特实际上长得一模一样。”
-1.3480292305576298	liu kuyu &apos;s forbidden area in front of the ferocious shovel to violate kermez , he and his emotional agitation wang the succession to the yellow card .	刘宇禁区前凶狠铲抢侵犯克里梅茨，他与情绪激动的王栋相继领到黄牌。
-1.33455075740676	kuwait gentleman has played the role of a moue .	科先生扮了个怪相。
-1.30757052229347	in the 37th minute , mr ann undertook a change of change , zhang xiaobin , zhang ming in the old lord .	国安在第37分钟就进行换人调整，张晓彬下场，张池明登场反戈旧主。
-1.3019529119576698	the 63 homeless , a 63 homeless , had a knife with another tramp , and he was killed by a knife .	现年63岁的流浪者韩某与另一流浪汉肖某酒后发生争执，遂持刀将其扎死。
-1.29513179836859	&quot; it makes me flattered , &quot; said glasgow bike hand skinner , aged $ number . &quot;	23岁的格拉斯哥自行车手斯金纳表示：“这让我受宠若惊。”
-1.25343673590203	before long , also launched a series of &apos; s works .	前不久，努比亚也推出了其Z11系列的首款作品：nubiaZ11mini。
-1.25035451033567	the parents &apos; actions will affect the growth of the child , and they will imitate their parents , which is often said to be the dragon , the phoenix , the mouse , the child will make a hole , the parents what kind of child .	父母的一言一行都会影响到孩子的成长，他们会模仿自己的父母，也就是人们常说的龙生龙，凤生凤，老鼠的儿子会打洞，父母什么样孩子就什么样。
-1.24503937515493	朗兹曼 wrote .	朗兹曼写道。
-1.22901166722857	&quot; i thought that in addition to the cheek hu , it is not very long , &quot; brady told the huffington post .	“我自认为除了络腮胡以外，并不是长得很像，”布莱迪对《赫芬顿邮报》(Huffington Post) 说。
-1.2137111010866102	liu xuan beautiful appearance so that she was quickly remembered , but also laid her future into the entertainment circle basis .	刘璇靓丽的外表让她迅速被人们记住，也奠定了她今后进军娱乐圈的基础。
-1.18685198644682	kepler surveys to raise su cluster star the auto-rotation rate	开普勒测量昂宿星团恒星的自转速度
-1.1443216124268	he and his daughter took part in a variety show such as &quot; where &apos;s daddy go , &quot; which made him pay attention .	而他和女儿参加“爸爸去哪”等综艺节目，更是让他赚足了眼球。
-1.14256733968366	it is particularly interesting to note the government &apos;s response to the hungry people , such as the president &apos;s people herbert buddha &quot; other people &apos;s things i can not control &quot; attitude .	尤其值得玩味的是政府对于饥饿民众们的回应，比如总统市民赫伯特·胡佛“别人的事我可管不了”的态度。
-1.1421228030850301	in fact , the 50-meter freestyle is not the main item in ningzhi , his performance and best achievement on the kangshan world championship , also determined that he is unlikely to make a breakthrough in this project .	其实50米自由泳并非宁泽涛主项，他在喀山世锦赛上的表现和最好成绩，也决定了他在这个项目取得突破的可能性不大。
-1.1140276620743301	ten thousand steps to say that it &apos;s handsome , completely relying on the value of the support of the brain powder .	退一万步说，宁泽涛长得帅，完全可以依靠颜值获得万千脑残粉的支持。
-1.11265606369633	as far as this remarkable project is concerned , the dragon shows the backbone of civil engineering .	就该了不起的项目而言，此次合龙展现出前沿的土木工程技术。
-1.08057901170094	the opening ceremony of the opening ceremony of the first olympic games of yunnan province on the opening ceremony of yunnan province	云南省首届青运会13日开赛开幕式打民族牌展示青春活力
-1.06951942597958	balls was 19 years old. from earlier this week , the news has spread like a virus on twitter , and was a .	拜尔斯才19岁。从本周早些时候起，其消息就在推特上病毒般传播开来。就拜尔斯而言，其人生已被赋予了全新意义。
-1.06731157885283	it is understood that law enforcement departments have had to travel in urumqi in west park , red tourism , such as retail districts were checked .	据了解，此前乌鲁木齐市旅游执法部门已对西公园、红山等旅游散客集中的地方进行了检查。
-1.0593871132586998	unlike many internet healthcare companies , i was initially focused on the vertical field of the internet obstetrics , with deep tillage and doctors on both sides .	与很多互联网医疗公司贪大求全不同，iBaby从最初就专注于互联网产科垂直领域，深耕孕妈和医生两端。
-1.0547854299959398	studying urban planning expert juan yilin sichuan there to visit to learn about local architectural design , and a man who has to travel .	就读城乡规划专业的黄伊琳想去四川阆中参观学习当地的建筑设计，于是一家人便前往旅游。
-1.04598531163416	a family in a house in cornwall there were floods destroyed former projects outside of tash , saul .	一户流氓家庭在遭驱逐前毁坏位于康沃尔郡索尔塔什的廉租房
-1.0190016964198	calderon grams out of the terminal point shot low to the left of the penalty area , fernando , the ball deflecting off thujas calderon grams .	卡尔德克禁区前摆脱分球，费尔南多禁区左侧低平球传中，卡尔德克顺势推射破门。
-1.01213124021282	diagram made a career 3 , 000 win in newcastle on the success of the prefect .	戴图理凭借 Predilection 在纽马基特的成功取得职业3,000胜
-0.998587179494897	ms. , who lived in the apartment for $ number years , said : &quot; it &apos; s like a bomb has fallen off . &quot;	据悉，在这栋公寓住了30年的杜雷女士(Mariana Turay)表示：“好像有炸弹掉下来。”
-0.975440648476935	mr. khan , who is 63 years old and a homeless drifter shaw , a drunken dispute with a knife , then it would be .	现年63岁的流浪者韩某与另一流浪汉肖某酒后发生争执，遂持刀将其扎死。
-0.967611030018583	&quot; it &apos;s a brilliant performance , music , light , stage performance , i &apos;m impressed ...................................................................................................................	“这是一场精彩绝伦的表演，音乐、灯光、舞台表演都让我印象深刻，……我觉得很有必要让女儿也来了解中国文化和中国京剧艺术。”
-0.9604394711674421	it is a long-term career that is consistent with the socialist value system , said sun jianbo , a member of the communist party committee of the former hill forest .	全国道德模范提名奖、原山林场党委书记孙建博说，雷锋精神传承着时代的真善美，是一项符合社会主义价值体系的长久事业。
