LP	source	translation	reference	HUMAN_score
fi-en	Kunnallisten terveyskeskus- ja sairaalalääkäreiden lakko kesti viitisen kuukautta ja sai aikaan vilkkaan keskustelun siitä, miten lakot voivat vaarantaa potilasturvallisuuden.	Municipal terveyskeskus- and sairaalalääkäreiden strike lasted five months and prompted a lively debate about how the strikes could endanger patient safety.	The strike of municipal health centre and hospital doctors lasted about 5 months and gave rise to discussion about how strikes can compromise patient safety.	-0.654339269069453
fi-en	Ei ollut heti selvää, miksi kumiluodit, joiden tiedetään tappaneen, mutta joita perinteisesti käytetään vähemmän vaarallisena vaihtoehtona, näyttivät aiheuttaneen niin monta kuolemaa.	It was not immediately clear why the rubber bullets, which are known to have killed, but which are traditionally used as an alternative to the less dangerous, seemed to have caused so many deaths.	It was not immediately clear why rubber bullets, which are known to kill but are traditionally used as a less-lethal alternative, apparently produced such a high death toll.	0.797743387871452
fi-en	Entä koulut ja päiväkodit?	What about the schools and nurseries?	What about schools and nurseries?	1.11215945634561
fi-en	Hakkaan heistä heti luulot pois.	I beat them imagine straight away.	I’ll beat them in their place immediately.	-0.854587558287281
fi-en	Yhtiö sanoi, että se odottaa liikevoiton yhä kasvavan aiemmasta vuodesta, koska he ovat leikanneet kuluja, liikevaihto on kasvanut ja verkkokauppa on kasvussa.	The company said it expects operating profit increasing from the previous year, because they have cut costs, turnover has increased and e-commerce is on the rise.	The company said it still expects earnings to grow over the previous year because of cost-cutting, higher revenue and growth in online commerce.	0.404580311592549
fi-en	Mutta siinä, mitä hallituksen pitäisi huomenna päättää, ei Marxista ole apua.	But, in what the government ought to decide tomorrow, not of Marx's help.	But Marx will not help with tomorrow’s government decisions.	-0.338209135960146
fi-en	Arviomme mukaan se oli vastoin parlamentaarisen demokratian arvoja ja avoimen dialogin periaatteita.	We estimate that it was contrary to the values of parliamentary democracy and the principles of open dialogue.	According to our estimation, this was against the values of parliamentary democracy and the principles of open dialogue.	0.821535898146704
fi-en	Joensuusta tuli yksi soraääni Siun sotelle	From the mouth of the river became one of the gravel voice your sotelle	One discordant note for ‘Siun sote’ reform package on healthcare and social welfare	-0.915312226920021
fi-en	Ison-Britannian ulkopuolelta voit lähettää ne kansainväliseen numeroomme +44 7624 800100.	Outside of great Britain you can send them to the international number +44 7624 800100.	Or if you are outside the UK, send them to the international number +44 7624 800 100.	0.864399760857705
fi-en	"""Kertooko pääministeri Sipilä puheessaan myös sen, miksi Suomen hallituksessa istuu veroparatiiseissa pääomiaan piilottelevia miljonäärejä, jotka laativat muille veronkiertäjäkavereilleen armahduslakeja ja samalla väittävät kansalle, että on pakko leikata, kun valtiolta on rahat loppu?"" kysyy Pia Lohikoski."	"""Sipilä told the prime minister in his speech but also, why the Finnish government sitting in tax havens, the hiding his own millionaires, who drew up the other tax evaders friends an amnesty law, and at the same time claim to the American people, that has to be cut, when the government has run out of money?"" asks Pia Dragon touched."	“In his speech, will the Prime Minister Sipilä also tell why there are millionaires hiding their funds in tax paradises sitting in the Finnish government, creating acts of indemnity to their tax evader pals and, at the same time, arguing to people that we must cut becuase the country has no money left?”, asks Pia Lohikoski.	-0.485438866509847
fi-en	"""Kertooko pääministeri Sipilä puheessaan myös sen, miksi Suomen hallituksessa istuu veroparatiiseissa pääomiaan piilottelevia miljonäärejä, jotka laativat muille veronkiertäjäkavereilleen armahduslakeja ja samalla väittävät kansalle, että on pakko leikata, kun valtiolta on rahat loppu?"" kysyy Pia Lohikoski."	"""Does the Prime Minister in his speech Sipilä also why the Finnish government sitting on their capital in tax havens hiding millionaires, who prepare others veronkiertäjäkavereilleen amnesty laws and at the same time claim to the people that will be forced to cut when the money from the state is the end?"" asks Pia Lohikoski."	“In his speech, will the Prime Minister Sipilä also tell why there are millionaires hiding their funds in tax paradises sitting in the Finnish government, creating acts of indemnity to their tax evader pals and, at the same time, arguing to people that we must cut becuase the country has no money left?”, asks Pia Lohikoski.	-0.755519929320983
fi-en	Eräs Special Patrol Group -kollektiivin tuottamista parodiamainoksista.	One of the Special Patrol Group collective produce parody advertisements.	One of the spoof ads produced by the Special Patrol Group collective.	0.238150812685178
fi-en	Lausunnon mukaan luodaan negatiivinen lista, jossa nimetään ne sektorit ja yritykset, joihin ei saa investoida.	According to the statement, will create a negative list, which names the sectors and companies, which will not be allowed to invest.	According to the statement, a negative list, identifying sectors and businesses that are off-limits for investment, will be drawn up.	0.18074208802755
fi-en	Viimeisin myllerrys ei tule lähellekään sen tasoa, Posen toteaa.	The latest turmoil does not come anywhere near its level, Posen says.	The latest turmoil doesn't come close to that level, he said.	0.602393424769412
fi-en	Berner itse sanoo jättäneensä eroilmoituksen jäsenyydestä tämän vuoden toukokuussa.	Berner says that she has membership in the resignation in May of this year.	Berner herself says she has already given notice of her resignation in May this year.	-0.294129834784486
fi-en	Berner itse sanoo jättäneensä eroilmoituksen jäsenyydestä tämän vuoden toukokuussa.	Berner himself says resignation of the membership in May this year.	Berner herself says she has already given notice of her resignation in May this year.	-0.518640504554562
fi-en	Sipilältä ovela veto	Sipilä from subtle appeal	A smart move from Sipilä	-1.35809808311702
fi-en	Kuvattu Joburgissa: Kodittomia nuoria koulutetaan valokuvaajiksi	As described in the joburgissa: homeless young people trained photographer	'Shot in Joburg': Homeless youth trained as photographers	-0.367848287354459
fi-en	Pian puoli vuotta vaaleista.	Soon after the elections in six months.	It has been almost six months since the election.	-0.531605541095856
fi-en	Lakkautettavilla vuoroilla tehdään yli puoli miljoonaa matkaa vuodessa, kun yhteensä ministeriön ostamassa liikenteessä matkoja on noin yhdeksän miljoonaa.	Abolished by flights made more than half a million trips a year, when a total of the ministry of buying traffic trips is around nine million.	There are over half a million journeys a year made on the reduced trains, as the total number of journeys in the traffic services purchased by the ministry is about nine millions.	-0.58947111836319
fi-en	Osana säästöjä yliopisto aloittaa koko henkilöstöä koskevat yt-neuvottelut, joiden säästötavoite on vuosittain 6,5 miljoonaa.	As part of the University of savings to start up the entire staff of the talks, with the savings target is 6.5 million annually.	As part of the savings, the university begins employee cooperation negotiations that concern the whole staff, with an annual savings goal of 6.5 million.	-0.125728009417504
fi-en	Otsikkona oli Dear Agony Aunt.	An article entitled 'Dear agony aunt.	The title was Dear Agony Aunt.	0.621452360378077
