0.34937092778329654	The Sultan appoints judges, and can grant pardons and commute sentences.	Der Sultan ernennt Richter und kann Begnadigungen und Pendelstrafen gewähren.
0.3924345653857603	Antisemitism in modern Ukraine Antisemitism and Special Relativity	Antisemitismus in der modernen Ukraine Antisemitismus und besondere Relativität
0.6450339478547201	Morales continued his feud with Buddy Rose, defeating him by disqualification.	Morales setzte seine Fehde mit Buddy Rose fort und besiegte ihn durch Disqualifikation.
0.5445189143860042	American Maury Tripp attended the Jamboree from Saratoga, California.	Der Amerikaner Maury Tripp besuchte das Jamboree aus Saratoga, Kalifornien.
-0.589530766139046	He bowled a series of bouncers at Viv Richards at Brisbane and claimed 3/77 and 5/92 in the Third Test at Melbourne.	Er boomte eine Reihe von Bouncern bei Viv Richards in Brisbane und behauptete 3 / 77 und 5 / 92 im dritten Test in Melbourne.
0.5452115332744835	The Frenchwoman's win irritated some of her male rivals.	Der Sieg der Französin irritierte einige ihrer männlichen Rivalen.
0.482552097121638	Good or bad, the theories of educators such as Rousseau's near contemporaries Pestalozzi, Mme.	Gut oder schlecht, die Theorien der Pädagogen wie Rousseaus nahe Zeitgenossen Pestalozzi, Mme.
0.5276025416534194	Alfred Stieglitz enrolled in the Real Gymnasium in Karlsruhe.	Alfred Stieglitz hat sich am Real Gymnasium Karlsruhe eingeschrieben.
0.572117116273999	Superman battles the Phantom Zone villains in Washington.	Superman kämpft gegen die Schurken der Phantom Zone in Washington.
0.14432092337865085	However, Berke remained neutral militarily, and after the defeat of Ariq Böke, freely acceded to Kublai's enthronement.	Berke blieb jedoch militärisch neutral und trat nach der Niederlage von Ariq Böke Kublais Inthronisierung frei bei.
0.2936394181938813	Meanwhile, Poivre had finally obtained seedlings of nutmeg and clove, and 10,000 nutmeg seeds.	Inzwischen hatte Poivre schließlich Sämlinge von Muskatnuss und Nelke und 10.000 Muskatensamen erhalten.
0.30816431691398494	The Barnstormers currently play in the Indoor Football League.	Die Barnstormers spielen derzeit in der Indoor Football League.
-0.4836587392067495	Terminally, it bears four lobes, two inner glossae, and two outer paraglossae, which are collectively known as the ligula.	Schließlich trägt er vier Lappen, zwei innere Glossae und zwei äußere Gleitschirme, die kollektiv als Ligula bekannt sind.
0.6079840308974206	None of James's biographers accepted them as plausible.	Keiner von James 's Biographen akzeptierte sie als plausibel.
0.606062805642682	The original soundtrack cracked the top 20 of the U.S.	Der originale Soundtrack knackte die Top 20 der USA
-0.5930537202394487	Through their property in east Orlando flowed the Econlockhatchee River, which travelers crossed by fording.	Durch ihr Eigentum im Osten Orlando floss die Econlockhatchee River, die Reisende durch Fording überquert.
0.5429825915433986	Surrey batted first and reached 174/2 at lunchtime.	Surrey schlug zuerst und erreichte 174 / 2 zur Mittagszeit.
0.4036766185289888	Within the pods, the hippos tend to segregate by gender.	Innerhalb der Hülsen neigen die Flusspferde dazu, sich nach Geschlecht zu trennen.
-1.4098106005989408	Next, at The Manchester Trophy in Manchester, UK he partnered Lovro Zovko to the final.	Als nächstes, bei der Manchester Trophy in Manchester, Großbritannien er Partner Lovro Zovko bis zum Finale.
-0.8245439009263188	"On Day 35, HouseGuests competed in the ""A Lotta Pinata"" Power of Veto competition."	"Am Tag 35, HouseGuest konkurrierte in der ""A Lotta Pinata"" Power of Veto Wettbewerb."
0.6963204828908068	The highway headed northeast through Keene, where it intersected Route 10 and Route 12.	Die Autobahn führte nordöstlich durch Keene, wo sie die Route 10 und die Route 12 durchkreuzte.
-0.6699612259571147	With the fall of Terry Alderman's wicket, Australia ware all out for 528, a first innings lead of 242, with Steve Waugh once again not out on 152.	Mit dem Fall von Terry Alderman 's wicket, Australien ware all out for 528, eine erste Innings Führung von 242, mit Steve Waugh wieder nicht heraus auf 152.
-0.5564941278589748	The Big Ten followed the NCAA actions, concurring with its findings by officially censuring Penn State and levying a separate fine of $13 million.	Die Big Ten folgten den NCAA-Aktionen, die mit ihren Feststellungen übereinstimmten, indem sie Penn State offiziell kritisierten und eine separate Geldstrafe von 13 Millionen Dollar verhängten.
0.5692143473769019	Two other EF0 tornadoes touched down in Arkansas and Louisiana.	Zwei weitere EF0 Tornados landeten in Arkansas und Louisiana.
0.36197593760528685	Allen first appeared as the superhero Impulse, a teenage sidekick of the superhero the Flash, before he became the second hero known as Kid Flash.	Allen erschien zuerst als Superheld Impulse, ein Teenager-Anhänger des Superhelden Flash, bevor er der zweite Held wurde, der als Kid Flash bekannt ist.
0.6353058545727305	Stimulates maturation of the follicle, which then in turn secretes estrogen.	Stimuliert die Reifung des Follikels, das wiederum Östrogen absondert.
-0.44143389077236184	Israeli jets used napalm bombs during their sorties.	Israelische Jets nutzten Napalmbomben während ihrer Leiden.
0.45118471812697986	They streamlined the Superman mythos, by downsizing his abilities and reducing his normal powerful prowess.	Sie rationalisierten den Superman-Mythos, indem sie seine Fähigkeiten herabstuften und seine normalen mächtigen Fähigkeiten reduzierten.
